DIAS,VIEWS,INSCRITOS,CANAL,CATEGORIA,,,,,,,
4,885080,20610,fafismelo,Humor,,,,,,,
5,974110,20770,fafismelo,Humor,,,,,,,
6,1010000,23060,fafismelo,Humor,,,,,,,
7,1160000,23360,fafismelo,Humor,,,,,,,
8,1480000,24650,fafismelo,Humor,,,,,,,
9,1600000,22340,fafismelo,Humor,,,,,,,
1,11870,301,victorlamoglia,Humor,,,,,,,
2,10070,303,victorlamoglia,Humor,,,,,,,
3,10680,385,victorlamoglia,Humor,,,,,,,
4,117540,11400,victorlamoglia,Humor,,,,,,,
5,95540,5050,victorlamoglia,Humor,,,,,,,
6,130540,5290,victorlamoglia,Humor,,,,,,,
7,63860,2810,victorlamoglia,Humor,,,,,,,
8,53040,2330,victorlamoglia,Humor,,,,,,,
9,269620,15610,victorlamoglia,Humor,,,,,,,
10,238480,12690,victorlamoglia,Humor,,,,,,,
11,174530,7330,victorlamoglia,Humor,,,,,,,
12,291360,15170,victorlamoglia,Humor,,,,,,,
13,164180,20630,victorlamoglia,Humor,,,,,,,
14,632580,17000,victorlamoglia,Humor, ,,,,,,
1,78430,1920,brunamalheirosmakeup,beleza,,,,,,,
2,103480,3680,brunamalheirosmakeup,beleza,,,,,,,
3,103150,3130,brunamalheirosmakeup,beleza,,,,,,,
4,193400,5940,brunamalheirosmakeup,beleza,,,,,,,
5,222910,5110,brunamalheirosmakeup,beleza,,,,,,,
6,202060,4330,brunamalheirosmakeup,beleza,,,,,,,
7,222460,5130,brunamalheirosmakeup,beleza, ,,,,,,
8,368670,8880,brunamalheirosmakeup,beleza,,,,,,,
9,414540,10990,brunamalheirosmakeup,beleza,,,,,,,
10,353960,10960,brunamalheirosmakeup,beleza,,,,,,,
11,517280,12750,brunamalheirosmakeup,beleza,,,,,,,
12,533180,13790,brunamalheirosmakeup,beleza,,,,,,,
13,912020,23420,brunamalheirosmakeup,beleza,,,,,,,
14,943620,21060,brunamalheirosmakeup,beleza,,,,,,,
15,1000000,25870,brunamalheirosmakeup,beleza,,,,,,,
16,1140000,23450,brunamalheirosmakeup,beleza,,,,,,,
17,1380000,26420,brunamalheirosmakeup,beleza,,,,,,,
18,1520000,27350,brunamalheirosmakeup,beleza,,,,,,,
19,1630000,31000,brunamalheirosmakeup,beleza,,,,,,,
1,130530,7340,jadeseba,beleza,,,,,,,
2,183860,6980,jadeseba,beleza,,,,,,,
3,160780,5260,jadeseba,beleza,,,,,,,
4,92810,1320,jadeseba,beleza,,,,,,,
5,129140,1630,jadeseba,beleza,,,,,,,
6,106700,1590,jadeseba,beleza,,,,,,,
7,120750,2070,jadeseba,beleza,,,,,,,
8,93400,1970,jadeseba,beleza,,,,,,,
9,112530,2280,jadeseba,beleza,,,,,,,
10,78250,1840,jadeseba,beleza,,,,,,,
11,74670,1710,jadeseba,beleza,,,,,,,
12,97860,3560,jadeseba,beleza,,,,,,,
13,291920,7220,jadeseba,beleza,,,,,,,
14,268660,5410,jadeseba,beleza,,,,,,,
15,190960,5260,jadeseba,beleza,,,,,,,
16,209840,6420,jadeseba,beleza,,,,,,,
17,171280,5210,jadeseba,beleza,,,,,,,
18,12590,5930,jadeseba,beleza,,,,,,,
19,192610,7100,jadeseba,beleza,,,,,,,
1,34550,1190,fmastrandeacanal,Humor,,,,,,,
2,65120,1600,fmastrandeacanal,Humor,,,,,,,
3,75690,1500,fmastrandeacanal,Humor,,,,,,,
4,181240,4100,fmastrandeacanal,Humor,,,,,,,
5,236110,4030,fmastrandeacanal,Humor,,,,,,,
6,420310,10700,fmastrandeacanal,Humor,,,,,,,
